key,markets,robbery,murders,home_robbery,eq_damage,hospitals,schools,OBJECTID,MUN_NAME,SETT_NAME
12288.0,2.0,29.0,0.0,0.0,0.0,0.0,5.0,12288,IZTAPALAPA,TENORIOS
12287.0,2.0,28.0,1.0,0.0,0.0,0.0,4.0,12287,IZTAPALAPA,PALMITAS
12282.0,4.0,105.0,2.0,1.0,0.0,0.0,6.0,12282,IZTAPALAPA,XALPA
12292.0,6.0,145.0,5.0,0.0,1.0,1.0,12.0,12292,IZTAPALAPA,DESARROLLO URBANO QUETZALCOATL
12187.0,2.0,109.0,2.0,3.0,3.0,0.0,4.0,12187,IZTAPALAPA,UNIDAD HAB CABEZA DE JUAREZ
12296.0,1.0,23.0,1.0,0.0,0.0,0.0,0.0,12296,IZTAPALAPA,ZONA RUSTICA
12291.0,1.0,14.0,1.0,1.0,0.0,1.0,2.0,12291,IZTAPALAPA,MIGUEL DE LA MADRID HURTADO
12224.0,1.0,11.0,0.0,0.0,0.0,0.0,2.0,12224,IZTAPALAPA,SAN JUANICO NEXTIPAC
12181.0,1.0,40.0,0.0,2.0,1.0,0.0,3.0,12181,IZTAPALAPA,CHINAMPAC DE JUAREZ
12375.0,1.0,8.0,1.0,0.0,0.0,0.0,0.0,12375,IZTAPALAPA,CASA BLANCA
12312.0,1.0,69.0,1.0,1.0,2.0,0.0,6.0,12312,IZTAPALAPA,CONGRESO AGRARISTA MEXICANO
12279.0,1.0,20.0,2.0,1.0,0.0,0.0,1.0,12279,IZTAPALAPA,AMPL EMILIANO ZAPATA
12348.0,2.0,16.0,0.0,0.0,0.0,0.0,0.0,12348,IZTAPALAPA,EL MANTO
12294.0,3.0,59.0,6.0,0.0,0.0,1.0,3.0,12294,IZTAPALAPA,BUENAVISTA
12364.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,12364,IZTAPALAPA,INFONAVIT SAN FRANCISCO
12295.0,1.0,21.0,1.0,0.0,0.0,0.0,1.0,12295,IZTAPALAPA,CARLOS HANK GONZALEZ
12186.0,1.0,10.0,1.0,0.0,0.0,0.0,0.0,12186,IZTAPALAPA,CABEZA DE JUAREZ VI
12402.0,3.0,23.0,0.0,0.0,0.0,0.0,4.0,12402,IZTAPALAPA,CONJUNTO HAB CELOALLIOTLI
12399.0,1.0,20.0,2.0,0.0,1.0,0.0,2.0,12399,IZTAPALAPA,EL MOLINO TEZONCO
12277.0,1.0,7.0,1.0,0.0,0.0,0.0,1.0,12277,IZTAPALAPA,MIGUEL DE LA MADRID
12276.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,12276,IZTAPALAPA,LAS CRUCES
12280.0,3.0,13.0,1.0,1.0,0.0,0.0,3.0,12280,IZTAPALAPA,HUITZICO
12297.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,12297,IZTAPALAPA,DEGOLLADO
12300.0,1.0,14.0,0.0,0.0,0.0,0.0,3.0,12300,IZTAPALAPA,MIXCOATL
12307.0,1.0,71.0,2.0,0.0,1.0,0.0,7.0,12307,IZTAPALAPA,PRESIDENTES DE MEXICO
12359.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,12359,IZTAPALAPA,SANTA MARIA DEL MONTE
12395.0,1.0,48.0,3.0,0.0,1.0,0.0,3.0,12395,IZTAPALAPA,LA ESPERANZA
12327.0,1.0,15.0,0.0,0.0,0.0,0.0,0.0,12327,IZTAPALAPA,VALLE DE LUCES 2DA. SECCION
12341.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,12341,IZTAPALAPA,AMPL RICARDO FLORES MAGON
12179.0,5.0,101.0,3.0,2.0,0.0,1.0,12.0,12179,IZTAPALAPA,CONJ URBANO POP ERMITA ZARAGOZA
12299.0,1.0,54.0,2.0,0.0,0.0,0.0,1.0,12299,IZTAPALAPA,VALLE DE SAN LORENZO
12290.0,2.0,19.0,1.0,0.0,0.0,0.0,3.0,12290,IZTAPALAPA,MIRAVALLE
12285.0,1.0,7.0,2.0,0.0,0.0,0.0,0.0,12285,IZTAPALAPA,SAN PABLO I
12262.0,1.0,42.0,1.0,0.0,0.0,0.0,3.0,12262,IZTAPALAPA,SANTIAGO ACAHUALTEPEC
12257.0,1.0,23.0,2.0,0.0,0.0,0.0,3.0,12257,IZTAPALAPA,PARAJE ZACATEPEC
12193.0,1.0,29.0,0.0,0.0,0.0,0.0,3.0,12193,IZTAPALAPA,FRACC POPULAR ALVARO OBREGON
12160.0,1.0,14.0,0.0,0.0,0.0,0.0,2.0,12160,IZTAPALAPA,DOCTOR ALFONSO ORTIZ TIRADO
12173.0,1.0,9.0,0.0,0.0,0.0,1.0,1.0,12173,IZTAPALAPA,VOCEADORES
12394.0,2.0,69.0,1.0,3.0,0.0,1.0,6.0,12394,IZTAPALAPA,BARRIO SAN ANTONIO
12396.0,1.0,57.0,3.0,2.0,0.0,1.0,5.0,12396,IZTAPALAPA,JOSE LOPEZ PORTILLO
12316.0,2.0,107.0,12.0,2.0,0.0,2.0,10.0,12316,IZTAPALAPA,LOMAS DE SAN LORENZO
12314.0,1.0,37.0,0.0,1.0,0.0,0.0,0.0,12314,IZTAPALAPA,PUENTE BLANCO
12370.0,1.0,30.0,1.0,0.0,0.0,1.0,0.0,12370,IZTAPALAPA,MARIA ESTHER ZUNO DE ECHEVERRIA
12378.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,12378,IZTAPALAPA,12 DE DICIEMBRE
12321.0,1.0,17.0,0.0,1.0,0.0,0.0,6.0,12321,IZTAPALAPA,LUIS ECHEVERRIA ALVAREZ
12389.0,1.0,36.0,0.0,0.0,0.0,0.0,2.0,12389,IZTAPALAPA,LOMAS ESTRELLA 2DA SECCION
12377.0,1.0,15.0,2.0,0.0,0.0,0.0,0.0,12377,IZTAPALAPA,ZONA URBANA EJIDAL SAN ANDRÉS TOMATLAN
12250.0,1.0,47.0,2.0,1.0,2.0,0.0,2.0,12250,IZTAPALAPA,SANTA MARIA AZTAHUACAN
12203.0,2.0,94.0,4.0,1.0,3.0,0.0,10.0,12203,IZTAPALAPA,UNIDAD HAB SANTA CRUZ MEYEHUALCO
12304.0,1.0,29.0,1.0,0.0,0.0,0.0,3.0,12304,IZTAPALAPA,LA HERA
12251.0,1.0,104.0,1.0,2.0,2.0,1.0,4.0,12251,IZTAPALAPA,Z URB EJ STA MARIA AZTAHUACAN
12346.0,1.0,24.0,3.0,0.0,1.0,0.0,5.0,12346,IZTAPALAPA,PARAJE SAN JUAN
12332.0,1.0,12.0,0.0,1.0,0.0,0.0,1.0,12332,IZTAPALAPA,MINERVA
12336.0,1.0,18.0,1.0,0.0,0.0,0.0,1.0,12336,IZTAPALAPA,VALLE DEL SUR
12265.0,1.0,29.0,1.0,0.0,0.0,0.0,3.0,12265,IZTAPALAPA,LOMAS DE ZARAGOZA
12202.0,1.0,38.0,1.0,0.0,0.0,0.0,3.0,12202,IZTAPALAPA,JACARANDAS
12217.0,1.0,52.0,2.0,0.0,0.0,0.0,6.0,12217,IZTAPALAPA,BARRIO SAN MIGUEL
12335.0,1.0,24.0,0.0,0.0,0.0,0.0,1.0,12335,IZTAPALAPA,LOS CIPRESES
12180.0,2.0,109.0,2.0,3.0,3.0,1.0,20.0,12180,IZTAPALAPA,UNIDAD HAB VICENTE GUERRERO
12270.0,1.0,34.0,1.0,0.0,0.0,0.0,8.0,12270,IZTAPALAPA,SAN MIGUEL TEOTONGO(SECC GUADALUPE)
12267.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,12267,IZTAPALAPA,SAN MIGUEL TEOTONGO(SECC AVIS)
12271.0,2.0,12.0,1.0,0.0,0.0,2.0,2.0,12271,IZTAPALAPA,SAN MIGUEL TEOTONGO(SECC LA CRUZ)
12305.0,2.0,39.0,3.0,1.0,0.0,1.0,2.0,12305,IZTAPALAPA,REFORMA POLITICA
12303.0,1.0,34.0,0.0,1.0,1.0,2.0,3.0,12303,IZTAPALAPA,FRANCISCO VILLA
12355.0,1.0,14.0,0.0,0.0,0.0,0.0,0.0,12355,IZTAPALAPA,SAN JUAN JOYA
12361.0,1.0,40.0,0.0,1.0,0.0,0.0,8.0,12361,IZTAPALAPA,SAN JUAN XALPA
12289.0,1.0,36.0,0.0,2.0,0.0,0.0,5.0,12289,IZTAPALAPA,IXTLAHUACAN
12275.0,2.0,30.0,0.0,0.0,0.0,0.0,6.0,12275,IZTAPALAPA,SAN MIGUEL TEOTONGO (SECC LAS TORR)
12195.0,1.0,17.0,0.0,0.0,0.0,2.0,1.0,12195,IZTAPALAPA,PROGRESISTA
12154.0,1.0,14.0,0.0,0.0,0.0,0.0,1.0,12154,IZTAPALAPA,BARRIO SAN PABLO
12153.0,2.0,28.0,2.0,0.0,0.0,0.0,6.0,12153,IZTAPALAPA,BARRIO SAN LUCAS
12156.0,1.0,40.0,0.0,2.0,0.0,0.0,3.0,12156,IZTAPALAPA,BARRIO SANTA BARBARA
12163.0,1.0,47.0,0.0,0.0,0.0,0.0,5.0,12163,IZTAPALAPA,ESCUADRON 201
12254.0,1.0,56.0,3.0,2.0,0.0,1.0,7.0,12254,IZTAPALAPA,PUEBLO SANTA MARTHA ACATITLA
12255.0,1.0,16.0,2.0,0.0,2.0,0.0,0.0,12255,IZTAPALAPA,PUEBLO SAN SEBASTIAN TECOLOXTITLAN
12194.0,3.0,57.0,3.0,0.0,2.0,0.0,7.0,12194,IZTAPALAPA,UNID HAB EJERC DE OTE ZONA PEÑON
12164.0,1.0,62.0,1.0,1.0,1.0,0.0,1.0,12164,IZTAPALAPA,SECTOR POPULAR
12176.0,1.0,38.0,1.0,0.0,0.0,0.0,0.0,12176,IZTAPALAPA,FUENTES DE ZARAGOZA
12258.0,1.0,46.0,0.0,0.0,0.0,1.0,4.0,12258,IZTAPALAPA,ZONA URB STA MARTHA ACATITLA SUR
12175.0,1.0,144.0,0.0,1.0,2.0,0.0,7.0,12175,IZTAPALAPA,ZONA URB STA MARTHA ACATITLA NORTE
12206.0,1.0,6.0,1.0,0.0,0.0,0.0,0.0,12206,IZTAPALAPA,LEYES DE REFORMA 2DA SECCION
12204.0,1.0,51.0,0.0,1.0,1.0,2.0,6.0,12204,IZTAPALAPA,GUADALUPE DEL MORAL
12192.0,1.0,36.0,4.0,1.0,0.0,0.0,0.0,12192,IZTAPALAPA,EL PARAISO
12214.0,1.0,9.0,0.0,0.0,0.0,0.0,1.0,12214,IZTAPALAPA,SIDERAL
12210.0,1.0,80.0,1.0,0.0,0.0,2.0,7.0,12210,IZTAPALAPA,LEYES DE REFORMA
12231.0,1.0,20.0,0.0,0.0,1.0,0.0,0.0,12231,IZTAPALAPA,ACULCO
12235.0,1.0,19.0,0.0,0.0,0.0,0.0,2.0,12235,IZTAPALAPA,PURISIMA ATLAZOLPA
12185.0,4.0,104.0,2.0,3.0,0.0,0.0,10.0,12185,IZTAPALAPA,UNID HAB EJERC CONSTITUCIONALISTA
12171.0,1.0,173.0,6.0,4.0,0.0,1.0,9.0,12171,IZTAPALAPA,JUAN ESCUTIA
12200.0,1.0,59.0,2.0,0.0,0.0,0.0,2.0,12200,IZTAPALAPA,CONSTITUCION DE 1917
12331.0,1.0,11.0,1.0,0.0,0.0,0.0,0.0,12331,IZTAPALAPA,VALLE DE LUCES
12323.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,12323,IZTAPALAPA,SAN MARCOS
12183.0,1.0,80.0,0.0,0.0,1.0,0.0,3.0,12183,IZTAPALAPA,TEPALCATES
12191.0,1.0,68.0,2.0,0.0,1.0,0.0,5.0,12191,IZTAPALAPA,UNIDAD HAB EJERCITO DE ORIENTE
12174.0,1.0,27.0,0.0,1.0,0.0,0.0,5.0,12174,IZTAPALAPA,SAN LORENZO XICOTENCATL
12177.0,1.0,13.0,1.0,0.0,1.0,0.0,3.0,12177,IZTAPALAPA,SOLIDARIDAD
12241.0,1.0,31.0,3.0,0.0,0.0,0.0,4.0,12241,IZTAPALAPA,SAN ANDRES TETEPILCO
12189.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,12189,IZTAPALAPA,GUELATAO BENITO JUAREZ
12368.0,1.0,38.0,0.0,0.0,1.0,0.0,3.0,12368,IZTAPALAPA,CERRO DE LA ESTRELLA
12264.0,1.0,54.0,2.0,0.0,0.0,1.0,6.0,12264,IZTAPALAPA,2DA AMPL SANTIAGO ACAHUALTEPEC
12309.0,1.0,32.0,1.0,0.0,0.0,0.0,5.0,12309,IZTAPALAPA,LAS PEÑAS
12446.0,1.0,5.0,0.0,0.0,0.0,0.0,1.0,12446,LA MAGDALENA CONTRERAS,LA CONCEPCION
12432.0,1.0,2.0,0.0,0.0,0.0,0.0,4.0,12432,LA MAGDALENA CONTRERAS,BARRIO BARRANCA SECA
12450.0,1.0,13.0,1.0,0.0,0.0,0.0,3.0,12450,LA MAGDALENA CONTRERAS,PUEBLO LA MAGDALENA CONTRERAS
12429.0,1.0,10.0,0.0,0.0,0.0,0.0,1.0,12429,LA MAGDALENA CONTRERAS,BARROS SIERRA
12430.0,1.0,21.0,0.0,0.0,0.0,0.0,4.0,12430,LA MAGDALENA CONTRERAS,SAN JERONIMO ACULCO
12412.0,1.0,3.0,0.0,0.0,0.0,1.0,3.0,12412,LA MAGDALENA CONTRERAS,INDEPENDENCIA BATAN SUR
12577.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,12577,MILPA ALTA,SANTA ANA TLACOTENCO
12566.0,2.0,9.0,1.0,1.0,0.0,1.0,4.0,12566,MILPA ALTA,SAN SALVADOR CUAUHTENCO
12560.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,12560,MILPA ALTA,BARRIO TULA
12570.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,12570,MILPA ALTA,BARRIO CENTRO
12571.0,1.0,4.0,3.0,0.0,0.0,0.0,3.0,12571,MILPA ALTA,BARRIO SAN JUAN
12551.0,1.0,3.0,0.0,0.0,0.0,1.0,5.0,12551,MILPA ALTA,BARRIO TENANTITLA
12547.0,1.0,8.0,0.0,0.0,0.0,0.0,2.0,12547,MILPA ALTA,BARRIO LA CONCEPCION
12682.0,1.0,3.0,0.0,0.0,0.0,1.0,1.0,12682,TLÁHUAC,EMILIANO ZAPATA 1RA SECC
12564.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,12564,MILPA ALTA,BARRIO OCOTITLA
