Casas Grandes 248,19.388253,-99.14762639999998,"Narvarte, Benito Juárez, Distrito Federal (CDMX), Distrito Federal (CDMX)",138,1,5288852,11
Torres Bioparque,19.387864800000006,-99.19536519999996,"Carola, Álvaro Obregón, Distrito Federal (CDMX), Distrito Federal (CDMX)",65,1,3298900,11
Monte Albán 16,19.3989634,-99.149963,"Narvarte, Benito Juárez, Distrito Federal (CDMX), Distrito Federal (CDMX)",107,1,3927400,11
ALTAI Vertiz 185,19.4186062,-99.14779099999998,"Colonia Doctores, Cuauhtémoc, Distrito Federal (CDMX), Distrito Federal (CDMX)",59,1,1950000,11
Málaga Entrega Inmediata,19.4054107,-99.1256611,"Venustiano Carranza, Distrito Federal (CDMX), Distrito Federal (CDMX)",55,1,1909682,11
Vista Balbuena II,19.4206358,-99.09857920000002,"Venustiano Carranza, Distrito Federal (CDMX), Distrito Federal (CDMX)",50,1,1555000,11
Matisse VII Entrega Inmediata,19.3541541,-99.07466899999996,"Iztapalapa, Distrito Federal (CDMX)",45,1,1114670,11
Residencial Vía Santa Fe,19.4256949,-99.19387319999998,"Santa Fe, Álvaro Obregón, Distrito Federal (CDMX), Distrito Federal (CDMX)",97,1,4308195,11
Estrella Entrega Inmediata,19.449728,-99.14373799999998,"Guerrero, Cuauhtémoc, Distrito Federal (CDMX), Distrito Federal (CDMX)",46,1,1335196,11
Lopez Cotilla 735,19.3878719,-99.16474,"Del Valle, Benito Juárez, Distrito Federal (CDMX), Distrito Federal (CDMX)",196,1,8981100,11
Real Santa Catarina Entrega Inmediata,19.4906288,-99.1781633,"Azcapotzalco, Distrito Federal (CDMX), Distrito Federal (CDMX)",49,1,1769744,11
Zacahuitzco 53,19.3527394,-99.16849909999996,"Colonia del Carmen, Benito Juárez, Distrito Federal (CDMX), Distrito Federal (CDMX)",124,1,3654500,11
Desarrollo Calle 7,19.4111813,-99.05719659999998,"Agrícola Pantitlán, Iztacalco, Distrito Federal (CDMX)",5,1,871159,11
Star La Viga,19.4114043,-99.1273863,"Venustiano Carranza, Distrito Federal (CDMX), Distrito Federal (CDMX)",50,1,1311000,11
Desarrollo Xerena,19.3491097,-99.1979311,"San Angel, Álvaro Obregón, Distrito Federal (CDMX), Distrito Federal (CDMX)",95,1,4332510,11
Desarrollo Mar Egeo,19.459223100000006,-99.18108619999998,"Popotla, Miguel Hidalgo, Distrito Federal (CDMX), Distrito Federal (CDMX)",63,1,2299000,11
Desarrollo Vera,19.3375684,-99.2236696,"Colonia Olivar de los Padres, Álvaro Obregón, Distrito Federal (CDMX), Distrito Federal (CDMX)",63,1,5500000,11
Vidai Residencial,19.4478314,-99.10398599999996,"5o Tramo 20 de Noviembre, Venustiano Carranza, Distrito Federal (CDMX), Distrito Federal (CDMX)",51,1,(Precio,12
Quemada 287,19.3893146,-99.1495243,"Narvarte, Benito Juárez, Distrito Federal (CDMX), Distrito Federal (CDMX)",126,1,4196600,11
Residencial Cumbres Entrega Inmediata,19.3976186,-99.14720859999998,"Narvarte, Benito Juárez, Distrito Federal (CDMX), Distrito Federal (CDMX)",10,1,4128120,11
Bruno Traven 31,19.361646,-99.15788140000001,"General Pedro Maria Anaya, Benito Juárez, Distrito Federal (CDMX), Distrito Federal (CDMX)",108,1,4348680,11
Pestalozzi Mil 112,19.3810425,-99.16079530000002,"Del Valle, Benito Juárez, Distrito Federal (CDMX), Distrito Federal (CDMX)",189,1,5180000,11
Living Guerrero,19.4429751,-99.1480965,"Buenavista, Cuauhtémoc, Distrito Federal (CDMX), Distrito Federal (CDMX)",61,1,1837000,11
Vista San Andrés,19.4560928,-99.1271539,"Maza, Cuauhtémoc, Distrito Federal (CDMX), Distrito Federal (CDMX)",53,1,1502000,11
Atl 259 Santa María la Ribera,19.4528401,-99.15546280000001,"Santa Maria La Ribera, Cuauhtémoc, Distrito Federal (CDMX), Distrito Federal (CDMX)",70,1,2800000,11
Casas Grandes 322,19.389833300000006,-99.14742189999998,"Narvarte, Benito Juárez, Distrito Federal (CDMX), Distrito Federal (CDMX)",105,1,4286400,11
México Nuevo Moctezuma,19.4432309,-99.1409948,"Guerrero, Cuauhtémoc, Distrito Federal (CDMX), Distrito Federal (CDMX)",59,1,1486500,11
Runa III en Iztapalapa,19.363556600000006,-99.01514199999997,"Iztapalapa, Distrito Federal (CDMX)",45,1,738478,11
Matisse VI Entrega Inmediata,19.354155,-99.07467329999996,"Iztapalapa, Distrito Federal (CDMX)",64,1,1456380,11
Miguel Laurent 22,19.3777421,-99.1759359,"Del Valle, Benito Juárez, Distrito Federal (CDMX), Distrito Federal (CDMX)",125,1,6456500,11
Casas Grandes 130,19.396409,-99.1465126,"Narvarte, Benito Juárez, Distrito Federal (CDMX), Distrito Federal (CDMX)",10,1,4219022,11
Campos Elíseos 115,19.4295453,-99.18842640000004,"Polanco V Sección, Miguel Hidalgo, Distrito Federal (CDMX), Distrito Federal (CDMX)",228,1,26377614,11
Capri Residencial,19.3785728,-99.1673745,"Del Valle, Benito Juárez, Distrito Federal (CDMX), Distrito Federal (CDMX)",1,1,7307600,11
Departamento para estrenar en Venta Desierto de los Leones,19.339558,-99.23781789999998,"Tetelpan, Álvaro Obregón, Distrito Federal (CDMX), Distrito Federal (CDMX)",1,1,6659000,11
Departamento en Venta Boulevard Adolfo Ruiz Cortines 4603 Parque Del Pedregal Tlalpan Distrito Federal cdmx,19.301797238951334,-99.19552241589965,"Parque del Pedregal, Tlalpan, Distrito Federal (CDMX), Distrito Federal (CDMX)",345,1,25844000,11
Departamento en Venta Bosque De Toronjos Bosques De Las Lomas Cuajimalpa De Morelos,19.3904162,-99.2550003,"Bosques de Las Lomas, Cuajimalpa de Morelos, Distrito Federal (CDMX)",338,1,11530466,11
Residencial El Greco 63,19.3778161,-99.1891953,"Santa Maria Nonoalco, Benito Juárez, Distrito Federal (CDMX), Distrito Federal (CDMX)",125,1,3930300,11
Departamento en Venta Av santa Fe 462 Lomas De Santa Fe Álvaro Obregón Distrito Federal cdmx,19.3603025,-99.26861300000002,"Lomas de Santa Fe, Álvaro Obregón, Distrito Federal (CDMX), Distrito Federal (CDMX)",126,1,9948000,11
Indiana 44,19.389785,-99.18002919999998,"Nápoles, Benito Juárez, Distrito Federal (CDMX), Distrito Federal (CDMX)",81,1,4289950,11
Departamento en Venta Lago Andrómaco Ampliación Granada Miguel Hidalgo Distrito Federal cdmx,19.4431346,-99.2007312,"Ampliación Granada, Miguel Hidalgo, Distrito Federal (CDMX), Distrito Federal (CDMX)",140,1,8600000,11
Departamento en Venta Secretaria De La Marina Bosques De Las Lomas Cuajimalpa De Morelos,19.38867550301184,-99.2651926942566,"Bosques de Las Lomas, Cuajimalpa de Morelos, Distrito Federal (CDMX)",44,1,37195050,11
Residencial Vía Portales,19.3645187,-99.13991690000002,"Portales Oriente, Benito Juárez, Distrito Federal (CDMX), Distrito Federal (CDMX)",60,1,2220000,11
Departamento en Venta Secretaría De La Marina Bosques De Las Lomas Cuajimalpa De Morelos,19.388068278753504,-99.2656433053711,"Bosques de Las Lomas, Cuajimalpa de Morelos, Distrito Federal (CDMX)",221,1,10879552,11
Departamento en Venta Cerro San Andres Prado Churubusco Coyoacán Distrito Federal cdmx,19.346302,-99.1343472,"Prado Churubusco, Coyoacán, Distrito Federal (CDMX), Distrito Federal (CDMX)",580,1,6490000,11
Departamento en Venta Secretaria De Marina Bosques De Las Lomas Cuajimalpa De Morelos,19.3894974,-99.26518409999998,"Bosques de Las Lomas, Cuajimalpa de Morelos, Distrito Federal (CDMX)",446,1,31615793,11
Nodo Desierto Preventa Departamentos,19.339558,-99.23781789999998,"Tetelpan, Álvaro Obregón, Distrito Federal (CDMX), Distrito Federal (CDMX)",1,1,6659000,11
Departamento en Venta Benjamin Franklin Hipódromo Condesa Cuauhtémoc Distrito Federal cdmx,0.0,0.0,"Hipódromo Condesa, Cuauhtémoc, Distrito Federal (CDMX), Distrito Federal (CDMX)",215,1,11300000,11
Departamento en Venta Av Baja California Hipódromo Condesa Cuauhtémoc Distrito Federal cdmx,19.4056281,-99.1743547,"Hipódromo Condesa, Cuauhtémoc, Distrito Federal (CDMX), Distrito Federal (CDMX)",120,1,8200000,11
