colonia,del,num
CHIMALCOYOTL,TLALPAN,1
CHIMALISTAC,ÁLVARO OBREGÓN,1
CHINAMPAC DE JUAREZ,IZTAPALAPA,1
CHURUBUSCO,COYOACÁN,1
CIUDAD DE LOS DEPORTES,BENITO JUÁREZ,2
CIUDAD UNIVERSITARIA,COYOACÁN,1
CLAVERIA,AZCAPOTZALCO,1
COCOYOTES,GUSTAVO A MADERO,1
COLINAS DEL SUR,ÁLVARO OBREGÓN,2
CONDESA,CUAUHTÉMOC,1
CONDOMINIO TRES FUENTES,TLALPAN,2
CONDS PARA EMPLEADOS FEDERALES,COYOACÁN,1
CONGRESO AGRARISTA MEXICANO,IZTAPALAPA,2
CREDITO CONSTRUCTOR,BENITO JUÁREZ,3
CTM IXA CULHUACAN,COYOACÁN,2
CUAJIMALPA,CUAJIMALPA DE MORELOS,1
CUAUHTEMOC,CUAUHTÉMOC,2
CUAUHTEMOC PENSIL,MIGUEL HIDALGO,1
DAMIAN CARMONA,VENUSTIANO CARRANZA,1
DANIEL GARZA,MIGUEL HIDALGO,1
DEFENSORES DE LA REPUBLICA,GUSTAVO A MADERO,2
DEL BOSQUE,MIGUEL HIDALGO,1
DEL CARMEN,COYOACÁN,2
DEL MAR,TLÁHUAC,1
DEL OBRERO,GUSTAVO A MADERO,1
DEL PARQUE,VENUSTIANO CARRANZA,1
DEL VALLE,BENITO JUÁREZ,11
DEL VALLE CENTRO,BENITO JUÁREZ,16
DEL VALLE SUR,BENITO JUÁREZ,12
DESARROLLO URBANO QUETZALCOATL,IZTAPALAPA,1
DOCTORES,CUAUHTÉMOC,4
EL ARENAL,AZCAPOTZALCO,2
EL ARENAL 2DA SECC,VENUSTIANO CARRANZA,1
EL ARENAL 3RA SECC,VENUSTIANO CARRANZA,1
EL CENTINELA,COYOACÁN,1
EL EDEN,IZTAPALAPA,2
EL MOLINO TEZONCO,IZTAPALAPA,1
EL POLITACO,ÁLVARO OBREGÓN,1
EL RISCO CTM,GUSTAVO A MADERO,1
EL RODEO,IZTAPALAPA,1
EMILIANO ZAPATA,COYOACÁN,1
EMILIANO ZAPATA,GUSTAVO A MADERO,1
ESCANDON,MIGUEL HIDALGO,5
ESPARTACO,COYOACÁN,1
ESTADO DE HIDALGO,ÁLVARO OBREGÓN,1
EXTREMADURA INSURGENTES,BENITO JUÁREZ,1
FEDERAL,VENUSTIANO CARRANZA,2
FLORIDA,ÁLVARO OBREGÓN,1
FRACC INSURGENTES CUICUILCO,COYOACÁN,2
FRACC RES ACOXPA,TLALPAN,4
FRACC VILLA QUIETUD,COYOACÁN,1
FRANCISCO I MADERO,MIGUEL HIDALGO,1
FRANCISCO VILLA,IZTAPALAPA,1
FUENTES DEL PEDREGAL,TLALPAN,2
GABRIEL RAMOS MILLAN,IZTACALCO,1
GALEANA,ÁLVARO OBREGÓN,1
GERTRUDIS SANCHEZ 2DA SECC,GUSTAVO A MADERO,1
GRAL PEDRO MARIA ANAYA,BENITO JUÁREZ,4
GRANJAS COAPA,TLALPAN,2
GRANJAS SAN ANTONIO,IZTAPALAPA,1
GUADALUPE DEL MORAL,IZTAPALAPA,1
GUADALUPE INN,ÁLVARO OBREGÓN,1
GUADALUPE INSURGENTES,GUSTAVO A MADERO,1
GUERRERO,CUAUHTÉMOC,11
HACIENDA DE COYOACAN,COYOACÁN,1
HEROE DE NACOZARI,GUSTAVO A MADERO,2
HEROES DE CHURUBUSCO,IZTAPALAPA,1
HIDALGO,ÁLVARO OBREGÓN,1
HIPODROMO,CUAUHTÉMOC,8
HIPODROMO DE LA CONDESA,CUAUHTÉMOC,1
HORNOS DE ARAGON,GUSTAVO A MADERO,1
INDEPENDENCIA,BENITO JUÁREZ,3
INDUSTRIAL,GUSTAVO A MADERO,2
INSURGENTES MIXCOAC,BENITO JUÁREZ,2
IZTACALCO INFONAVIT,IZTACALCO,2
JANITZIO,VENUSTIANO CARRANZA,2
JUAREZ,CUAUHTÉMOC,5
LA ESPERANZA,IZTAPALAPA,1
LA JOYA,GUSTAVO A MADERO,4
LA JOYA,TLALPAN,1
LA LAGUNA TICOMAN,GUSTAVO A MADERO,1
LA PRADERA 1RA SECC,GUSTAVO A MADERO,2
LA PURISIMA TICOMAN,GUSTAVO A MADERO,2
LAS CAMPANAS,COYOACÁN,1
LETRAN VALLE,BENITO JUÁREZ,1
LIBERACION,AZCAPOTZALCO,1
LINDAVISTA,GUSTAVO A MADERO,7
LOMAS DE CHAPULTEPEC,MIGUEL HIDALGO,5
LOMAS DE LA HERA,ÁLVARO OBREGÓN,1
LOMAS DE PADIERNA,TLALPAN,2
LOMAS DE PLATEROS,ÁLVARO OBREGÓN,1
LOMAS DE REFORMA,MIGUEL HIDALGO,1
LOMAS DE VIRREYES,MIGUEL HIDALGO,1
LORENZO BOTURINI,VENUSTIANO CARRANZA,2
LOS GIRASOLES II,COYOACÁN,2
LOS GIRASOLES III,COYOACÁN,1
LOS MORALES,MIGUEL HIDALGO,1
LOS REYES,IZTACALCO,2
LOS ROBLES,COYOACÁN,1
MAGDALENA DE LAS SALINAS,GUSTAVO A MADERO,1
MAGDALENA PETLACALCO,TLALPAN,1
MARIA G DE GARCIA RUIZ,ÁLVARO OBREGÓN,1
MARTIN CARRERA,GUSTAVO A MADERO,1
MERCED GOMEZ,BENITO JUÁREZ,1
MERCED GOMEZ,ÁLVARO OBREGÓN,1
MICHOACANA,VENUSTIANO CARRANZA,1
MIGUEL HIDALGO,TLÁHUAC,4
MILITAR 1 K LOMAS DE SOTELO,MIGUEL HIDALGO,1
MILITAR MARTE,IZTACALCO,2
MINAS DE CRISTO,ÁLVARO OBREGÓN,1
MIRAVALLE,BENITO JUÁREZ,1
MIXCOAC,BENITO JUÁREZ,1
MOCTEZUMA 2DA SECC,VENUSTIANO CARRANZA,3
