517,UNIDAD HAB SANTA CRUZ MEYEHUALCO,IZTAPALAPA
518,UNIDAD HAB CABEZA DE JUAREZ,IZTAPALAPA
519,EL EDEN,IZTAPALAPA
521,SANTA MARIA AZTAHUACAN,IZTAPALAPA
522,PUEBLO SANTA CRUZ MEYEHUALCO,IZTAPALAPA
523,Z URB EJ STA MARIA AZTAHUACAN,IZTAPALAPA
524,UNID HAB EJERC DE OTE ZONA PEÑON,IZTAPALAPA
525,UNIDAD HAB CABEZA DE JUAREZ,IZTAPALAPA
526,PUEBLO SAN SEBASTIAN TECOLOXTITLAN,IZTAPALAPA
527,SOLIDARIDAD,IZTAPALAPA
528,FRANCISCO VILLA,IZTAPALAPA
529,Z URB EJ STA MARIA AZTAHUACAN,IZTAPALAPA
530,ZACAHUITZCO,IZTAPALAPA
531,LA ESPERANZA,IZTAPALAPA
532,EL MOLINO TEZONCO,IZTAPALAPA
533,UNIDAD MODELO,IZTAPALAPA
534,CONGRESO AGRARISTA MEXICANO,IZTAPALAPA
535,SIFON,IZTAPALAPA
536,PUEBLO SAN LORENZO TEZONCO,IZTAPALAPA
537,TEPALCATES,IZTAPALAPA
538,UNIDAD HAB VICENTE GUERRERO,IZTAPALAPA
539,ACULCO,IZTAPALAPA
540,GUADALUPE DEL MORAL,IZTAPALAPA
541,HEROES DE CHURUBUSCO,IZTAPALAPA
542,GRANJAS SAN ANTONIO,IZTAPALAPA
588,AMPL SELENE,TLÁHUAC
589,SANTA ANA SUR,TLÁHUAC
591,SELENE 2A SECCION,TLÁHUAC
592,AMPL SELENE,TLÁHUAC
593,MIGUEL HIDALGO,TLÁHUAC
594,MIGUEL HIDALGO,TLÁHUAC
595,MIGUEL HIDALGO,TLÁHUAC
596,SAN NICOLAS TETELCO,TLÁHUAC
597,MIGUEL HIDALGO,TLÁHUAC
598,BARRIO LA ASUNCION,TLÁHUAC
599,BARRIO LOS REYES,TLÁHUAC
600,SANTA ANA PONIENTE,TLÁHUAC
601,SELENE 2A SECCION,TLÁHUAC
602,DEL MAR,TLÁHUAC
603,SANTA CRUZ MIXQUIC,TLÁHUAC
605,BARRIO SAN BARTOLO MIXQUIC,TLÁHUAC
693,SAN GREGORIO ATLAPULCO,XOCHIMILCO
694,VASO DE REGULACION,XOCHIMILCO
1,OLIVAR DEL CONDE 1RA SECC,ÁLVARO OBREGÓN
2,BARRIO NORTE,ÁLVARO OBREGÓN
4,UNIDAD HAB SANTA FE IMSS,ÁLVARO OBREGÓN
5,ALVARO OBREGON,VENUSTIANO CARRANZA
6,COLINAS DEL SUR,ÁLVARO OBREGÓN
7,SANTA MARIA NONOALCO,ÁLVARO OBREGÓN
8,MINAS DE CRISTO,ÁLVARO OBREGÓN
9,ESTADO DE HIDALGO,ÁLVARO OBREGÓN
10,EL POLITACO,ÁLVARO OBREGÓN
11,MARIA G DE GARCIA RUIZ,ÁLVARO OBREGÓN
12,SANTA MARIA NONOALCO,ÁLVARO OBREGÓN
13,CAROLA,ÁLVARO OBREGÓN
15,AMPL LAS GOLONDRINAS,ÁLVARO OBREGÓN
16,LOMAS DE PLATEROS,ÁLVARO OBREGÓN
17,CAROLA,ÁLVARO OBREGÓN
18,AMPL PRESIDENTES,ÁLVARO OBREGÓN
19,MERCED GOMEZ,ÁLVARO OBREGÓN
20,HIDALGO,ÁLVARO OBREGÓN
21,COLINAS DEL SUR,ÁLVARO OBREGÓN
22,ALFONSO XIII,ÁLVARO OBREGÓN
23,LOMAS DE LA HERA,ÁLVARO OBREGÓN
24,REACOMODO LOMAS DE SANTO DOMINGO,ÁLVARO OBREGÓN
25,BELLAVISTA,ÁLVARO OBREGÓN
26,RANCHO SAN FRANCISCO,ÁLVARO OBREGÓN
27,GALEANA,ÁLVARO OBREGÓN
28,UNIDAD HAB TLATILCO,AZCAPOTZALCO
29,NUEVA SANTA MARIA,AZCAPOTZALCO
30,ANGEL ZIMBRON,AZCAPOTZALCO
31,EL ARENAL,AZCAPOTZALCO
32,ALDANA,AZCAPOTZALCO
33,LIBERACION,AZCAPOTZALCO
34,EL ARENAL,AZCAPOTZALCO
36,SANTA BARBARA,AZCAPOTZALCO
37,CLAVERIA,AZCAPOTZALCO
38,VILLA AZCAPOTZALCO,AZCAPOTZALCO
39,SANTIAGO AHUIZOTLA,AZCAPOTZALCO
40,BARRIO SAN ANDRES,AZCAPOTZALCO
268,SAN LORENZO ACOPILCO,CUAJIMALPA DE MORELOS
269,CUAJIMALPA,CUAJIMALPA DE MORELOS
543,PUEBLO SAN BERNABE OCOTEPEC,LA MAGDALENA CONTRERAS
545,MILITAR 1 K LOMAS DE SOTELO,MIGUEL HIDALGO
546,LOMAS DE CHAPULTEPEC,MIGUEL HIDALGO
547,SAN MIGUEL CHAPULTEPEC,MIGUEL HIDALGO
550,LOMAS DE REFORMA,MIGUEL HIDALGO
551,LOMAS DE CHAPULTEPEC,MIGUEL HIDALGO
552,DANIEL GARZA,MIGUEL HIDALGO
555,CHAPULTEPEC MORALES,MIGUEL HIDALGO
556,CHAPULTEPEC MORALES,MIGUEL HIDALGO
557,CUAUHTEMOC PENSIL,MIGUEL HIDALGO
559,PENSIL SUR,MIGUEL HIDALGO
560,LOMAS DE CHAPULTEPEC,MIGUEL HIDALGO
561,NUEVA ANZURES,MIGUEL HIDALGO
562,LOS MORALES,MIGUEL HIDALGO
563,CHAPULTEPEC MORALES,MIGUEL HIDALGO
